date,horizon,actual,naive,drift,naive_error,drift_error
2023-01-06,1,1.3486,1.3564,1.356544930417495,-0.007800000000000029,-0.007944930417495
2023-01-09,2,1.3376,1.3564,1.3566898608349902,-0.01880000000000015,-0.019089860834990313
2023-01-10,3,1.3421,1.3564,1.3568347912524852,-0.01429999999999998,-0.014734791252485113
2023-01-11,4,1.3425,1.3564,1.3569797216699802,-0.013900000000000023,-0.014479721669980128
2023-01-12,5,1.3378,1.3564,1.3571246520874751,-0.01859999999999995,-0.019324652087475025
2023-01-13,6,1.3406,1.3564,1.3572695825049703,-0.015800000000000036,-0.016669582504970304
2023-01-16,7,1.3397,1.3564,1.3574145129224653,-0.01670000000000016,-0.017714512922465397
2023-01-09,1,1.3376,1.3486,1.3487291666666668,-0.01100000000000012,-0.011129166666666857
2023-01-10,2,1.3421,1.3486,1.3488583333333333,-0.00649999999999995,-0.0067583333333332
2023-01-11,3,1.3425,1.3486,1.3489875,-0.006099999999999994,-0.006487499999999979
2023-01-12,4,1.3378,1.3486,1.3491166666666667,-0.01079999999999992,-0.011316666666666642
2023-01-13,5,1.3406,1.3486,1.3492458333333333,-0.008000000000000007,-0.008645833333333242
2023-01-16,6,1.3397,1.3486,1.349375,-0.00890000000000013,-0.0096750000000001
2023-01-17,7,1.339,1.3486,1.3495041666666667,-0.009600000000000053,-0.010504166666666759
2023-01-10,1,1.3421,1.3376,1.3377071287128712,0.0045000000000001705,0.004392871287128841
2023-01-11,2,1.3425,1.3376,1.3378142574257426,0.0049000000000001265,0.004685742574257468
2023-01-12,3,1.3378,1.3376,1.3379213861386137,0.00020000000000020002,-0.00012138613861356617
2023-01-13,4,1.3406,1.3376,1.338028514851485,0.0030000000000001137,0.002571485148515018
2023-01-16,5,1.3397,1.3376,1.3381356435643563,0.0020999999999999908,0.0015643564356435657
2023-01-17,6,1.339,1.3376,1.3382427722772277,0.0014000000000000679,0.0007572277227723134
2023-01-18,7,1.3439,1.3376,1.338349900990099,0.006300000000000194,0.0055500990099011105
2023-01-11,1,1.3425,1.3421,1.34221581027668,0.00039999999999995595,0.00028418972332011627
2023-01-12,2,1.3378,1.3421,1.3423316205533598,-0.0042999999999999705,-0.00453162055335965
2023-01-13,3,1.3406,1.3421,1.3424474308300396,-0.0015000000000000568,-0.0018474308300395759
2023-01-16,4,1.3397,1.3421,1.3425632411067194,-0.0024000000000001798,-0.0028632411067195385
2023-01-17,5,1.339,1.3421,1.3426790513833993,-0.0031000000000001027,-0.003679051383399301
2023-01-18,6,1.3439,1.3421,1.342794861660079,0.0018000000000000238,0.0011051383399209858
2023-01-19,7,1.3472,1.3421,1.342910671936759,0.005099999999999882,0.004289328063241005
2023-01-12,1,1.3378,1.3425,1.3426163708086785,-0.0046999999999999265,-0.004816370808678361
2023-01-13,2,1.3406,1.3425,1.3427327416173571,-0.0019000000000000128,-0.0021327416173571034
2023-01-16,3,1.3397,1.3425,1.3428491124260356,-0.0028000000000001357,-0.0031491124260356607
2023-01-17,4,1.339,1.3425,1.342965483234714,-0.0035000000000000586,-0.003965483234714018
2023-01-18,5,1.3439,1.3425,1.3430818540433924,0.0014000000000000679,0.0008181459566076743
2023-01-19,6,1.3472,1.3425,1.343198224852071,0.0046999999999999265,0.0040017751479288766
2023-01-20,7,1.3421,1.3425,1.3433145956607495,-0.00039999999999995595,-0.0012145956607494401
2023-01-13,1,1.3406,1.3378,1.3379068897637796,0.0027999999999999137,0.0026931102362204307
2023-01-16,2,1.3397,1.3378,1.338013779527559,0.0018999999999997907,0.0016862204724408247
2023-01-17,3,1.339,1.3378,1.3381206692913388,0.0011999999999998678,0.0008793307086611968
2023-01-18,4,1.3439,1.3378,1.3382275590551183,0.006099999999999994,0.00567244094488184
2023-01-19,5,1.3472,1.3378,1.3383344488188977,0.009399999999999853,0.008865551181102216
2023-01-20,6,1.3421,1.3378,1.3384413385826772,0.0042999999999999705,0.0036586614173228504
2023-01-23,7,1.3382,1.3378,1.3385482283464567,0.00039999999999995595,-0.00034822834645664713
2023-01-16,1,1.3397,1.3406,1.3407121807465618,-0.0009000000000001229,-0.0010121807465619526
2023-01-17,2,1.339,1.3406,1.340824361493124,-0.0016000000000000458,-0.0018243614931239271
2023-01-18,3,1.3439,1.3406,1.3409365422396857,0.0033000000000000806,0.0029634577603143697
2023-01-19,4,1.3472,1.3406,1.3410487229862476,0.006599999999999939,0.006151277013752399
2023-01-20,5,1.3421,1.3406,1.3411609037328094,0.0015000000000000568,0.0009390962671906866
2023-01-23,6,1.3382,1.3406,1.3412730844793714,-0.0023999999999999577,-0.0030730844793713796
2023-01-24,7,1.337,1.3406,1.3413852652259333,-0.0036000000000000476,-0.004385265225933299
2023-01-17,1,1.339,1.3397,1.3398101960784312,-0.0006999999999999229,-0.0008101960784312467
2023-01-18,2,1.3439,1.3397,1.3399203921568625,0.004200000000000204,0.003979607843137556
2023-01-19,3,1.3472,1.3397,1.340030588235294,0.007500000000000062,0.007169411764705869
2023-01-20,4,1.3421,1.3397,1.3401407843137254,0.0024000000000001798,0.0019592156862746624
2023-01-23,5,1.3382,1.3397,1.3402509803921567,-0.0014999999999998348,-0.002050980392156676
2023-01-24,6,1.337,1.3397,1.340361176470588,-0.0026999999999999247,-0.0033611764705880898
2023-01-25,7,1.3393,1.3397,1.3404713725490196,-0.00039999999999995595,-0.001171372549019667
2023-01-18,1,1.3439,1.339,1.3391086105675147,0.0049000000000001265,0.00479138943248536
2023-01-19,2,1.3472,1.339,1.3392172211350293,0.008199999999999985,0.007982778864970674
